CLK_UPPER,RESISTIVE_NOISE_THRESH,INDUCTIVE_NOISE_THRESH,resistiveNoiseProbability,inductiveNoiseProbability
1,10,10,0,0
2,10,10,0,0
3,10,10,0,0
4,10,10,0,0
5,10,10,0,0
6,10,10,0,0
7,10,10,0,0
8,10,10,0,0
9,10,10,0,0
10,10,10,0,0
11,10,10,0,0
12,10,10,0,0
13,10,10,0,0
14,10,10,0,0
15,10,10,0,0
16,10,10,0,0
17,10,10,0,0
18,10,10,0,0
19,10,10,0,0
20,10,10,0,0
21,10,10,0,0
22,10,10,0,0
23,10,10,0,0
24,10,10,0,0
25,10,10,0,0
26,10,10,0,0
27,10,10,0,0
28,10,10,0,0
29,10,10,0,0
30,10,10,0,0
31,10,10,0,0
32,10,10,0,0
33,10,10,0,0
34,10,10,0.001639344262295082,0
35,10,10,0,0
36,10,10,0,0
37,10,10,0,0
38,10,10,0.002857142857142857,0
39,10,10,0.001639344262295082,0
40,10,10,0,0
41,10,10,0.001639344262295082,0
42,10,10,0.001639344262295082,0
43,10,10,0.0038461538461538464,0
44,10,10,0.005555555555555556,0
45,10,10,0.005555555555555556,0
46,10,10,0.005555555555555556,0
47,10,10,0.004761904761904762,0
48,10,10,0.00631578947368421,0
49,10,10,0.005555555555555556,0
50,10,10,0.007,0
51,10,10,0.001639344262295082,0
52,10,10,0.00631578947368421,0
53,10,10,0.021568627450980392,0
54,10,10,0.018579234972677595,0
55,10,10,0.019895287958115182,0
56,10,10,0.018579234972677595,0
57,10,10,0.017341040462427744,0
58,10,10,0.019251336898395723,0
59,10,10,0.021844660194174758,0
60,10,10,0.019895287958115182,0
61,10,10,0.022748815165876776,0
62,10,10,0.030970149253731344,0
63,10,10,0.05825892857142857,0
64,10,10,0.05266990291262136,0
65,10,10,0.057239819004524885,0
66,10,10,0.05733634311512415,0
67,10,10,0.051604938271604936,0
68,10,10,0.05278450363196126,0
69,10,10,0.052311435523114354,0
70,10,10,0.053125,0
71,10,10,0.04923076923076923,0
72,10,10,0.07142857142857142,0
73,10,10,0.11931119311193111,0
74,10,10,0.11262886597938145,0
75,10,10,0.11214470284237726,0
76,10,10,0.1124031007751938,0
77,10,10,0.1200734394124847,0
78,10,10,0.11620603015075377,0
79,10,10,0.11426751592356688,0
80,10,10,0.11275773195876289,0
81,10,10,0.11216041397153946,0
82,10,10,0.14319148936170212,0
83,10,10,0.1810834813499112,0
84,10,10,0.2004950495049505,0
85,10,10,0.19816971713810316,0
86,10,10,0.1954621848739496,0
87,10,10,0.20065952184666117,0
88,10,10,0.19908864954432476,0
89,10,10,0.2018062397372742,0
90,10,10,0.19850498338870431,0
91,10,10,0.19817123857024108,0
92,10,10,0.2320656226696495,0
93,10,10,0.29413659793814434,0
94,10,10,0.30486418193303855,0
95,10,10,0.2979539641943734,0
96,10,10,0.2997448979591837,0
97,10,10,0.3066750629722922,0
98,10,10,0.30448798988622,0
99,10,10,0.29833865814696486,0
100,10,10,0.304614412136536,0
